 ---------------------------------------------------------------------------------------------------------------------------------- 
                                          loging report for : 05/04/2009   17:02:29
 ---------------------------------------------------------------------------------------------------------------------------------- 

17:02:44  |  General  |  Info  |  destroy layer 'Info'  |  c:\documents and settings\administrator\desktop\mygui2.2.2_source\mygui2.2.2_source\myguiengine\src\mygui_layermanager.cpp  |  292
17:02:44  |  General  |  Info  |  destroy layer 'ToolTip'  |  c:\documents and settings\administrator\desktop\mygui2.2.2_source\mygui2.2.2_source\myguiengine\src\mygui_layermanager.cpp  |  292
17:02:44  |  General  |  Info  |  destroy layer 'DragAndDrop'  |  c:\documents and settings\administrator\desktop\mygui2.2.2_source\mygui2.2.2_source\myguiengine\src\mygui_layermanager.cpp  |  292
17:02:44  |  General  |  Info  |  destroy layer 'FadeBusy'  |  c:\documents and settings\administrator\desktop\mygui2.2.2_source\mygui2.2.2_source\myguiengine\src\mygui_layermanager.cpp  |  292
17:02:44  |  General  |  Info  |  destroy layer 'Pointer'  |  c:\documents and settings\administrator\desktop\mygui2.2.2_source\mygui2.2.2_source\myguiengine\src\mygui_layermanager.cpp  |  292
17:02:44  |  General  |  Info  |  destroy layer 'Fade'  |  c:\documents and settings\administrator\desktop\mygui2.2.2_source\mygui2.2.2_source\myguiengine\src\mygui_layermanager.cpp  |  292
17:02:44  |  General  |  Info  |  destroy layer 'Statistic'  |  c:\documents and settings\administrator\desktop\mygui2.2.2_source\mygui2.2.2_source\myguiengine\src\mygui_layermanager.cpp  |  292
17:02:44  |  General  |  Info  |  LayerManager successfully shutdown  |  c:\documents and settings\administrator\desktop\mygui2.2.2_source\mygui2.2.2_source\myguiengine\src\mygui_layermanager.cpp  |  96
17:02:44  |  General  |  Info  |  * Shutdown: FontManager  |  c:\documents and settings\administrator\desktop\mygui2.2.2_source\mygui2.2.2_source\myguiengine\src\mygui_fontmanager.cpp  |  54
17:02:44  |  General  |  Info  |  FontManager successfully shutdown  |  c:\documents and settings\administrator\desktop\mygui2.2.2_source\mygui2.2.2_source\myguiengine\src\mygui_fontmanager.cpp  |  58
17:02:44  |  General  |  Info  |  * Shutdown: ControllerManager  |  c:\documents and settings\administrator\desktop\mygui2.2.2_source\mygui2.2.2_source\myguiengine\src\mygui_controllermanager.cpp  |  47
17:02:44  |  General  |  Info  |  ControllerManager successfully shutdown  |  c:\documents and settings\administrator\desktop\mygui2.2.2_source\mygui2.2.2_source\myguiengine\src\mygui_controllermanager.cpp  |  52
17:02:44  |  General  |  Info  |  * Shutdown: ClipboardManager  |  c:\documents and settings\administrator\desktop\mygui2.2.2_source\mygui2.2.2_source\myguiengine\src\mygui_clipboardmanager.cpp  |  51
17:02:44  |  General  |  Info  |  ClipboardManager successfully shutdown  |  c:\documents and settings\administrator\desktop\mygui2.2.2_source\mygui2.2.2_source\myguiengine\src\mygui_clipboardmanager.cpp  |  53
17:02:44  |  General  |  Info  |  * Shutdown: LayoutManager  |  c:\documents and settings\administrator\desktop\mygui2.2.2_source\mygui2.2.2_source\myguiengine\src\mygui_layoutmanager.cpp  |  54
17:02:44  |  General  |  Info  |  LayoutManager successfully shutdown  |  c:\documents and settings\administrator\desktop\mygui2.2.2_source\mygui2.2.2_source\myguiengine\src\mygui_layoutmanager.cpp  |  58
17:02:44  |  General  |  Info  |  * Shutdown: PluginManager  |  c:\documents and settings\administrator\desktop\mygui2.2.2_source\mygui2.2.2_source\myguiengine\src\mygui_pluginmanager.cpp  |  47
17:02:44  |  General  |  Info  |  PluginManager successfully shutdown  |  c:\documents and settings\administrator\desktop\mygui2.2.2_source\mygui2.2.2_source\myguiengine\src\mygui_pluginmanager.cpp  |  52
17:02:44  |  General  |  Info  |  * Shutdown: DynLibManager  |  c:\documents and settings\administrator\desktop\mygui2.2.2_source\mygui2.2.2_source\myguiengine\src\mygui_dynlibmanager.cpp  |  43
17:02:44  |  General  |  Info  |  DynLibManager successfully shutdown  |  c:\documents and settings\administrator\desktop\mygui2.2.2_source\mygui2.2.2_source\myguiengine\src\mygui_dynlibmanager.cpp  |  57
17:02:44  |  General  |  Info  |  * Shutdown: LanguageManager  |  c:\documents and settings\administrator\desktop\mygui2.2.2_source\mygui2.2.2_source\myguiengine\src\mygui_languagemanager.cpp  |  51
17:02:44  |  General  |  Info  |  LanguageManager successfully shutdown  |  c:\documents and settings\administrator\desktop\mygui2.2.2_source\mygui2.2.2_source\myguiengine\src\mygui_languagemanager.cpp  |  55
17:02:44  |  General  |  Info  |  * Shutdown: ResourceManager  |  c:\documents and settings\administrator\desktop\mygui2.2.2_source\mygui2.2.2_source\myguiengine\src\mygui_resourcemanager.cpp  |  60
17:02:44  |  General  |  Info  |  ResourceManager successfully shutdown  |  c:\documents and settings\administrator\desktop\mygui2.2.2_source\mygui2.2.2_source\myguiengine\src\mygui_resourcemanager.cpp  |  71
17:02:44  |  General  |  Info  |  * Shutdown: WidgetManager  |  c:\documents and settings\administrator\desktop\mygui2.2.2_source\mygui2.2.2_source\myguiengine\src\mygui_widgetmanager.cpp  |  100
17:02:44  |  General  |  Info  |  * Unregister widget factory 'DDContainer'  |  c:\documents and settings\administrator\desktop\mygui2.2.2_source\mygui2.2.2_source\myguiengine\src\mygui_widgetmanager.cpp  |  125
17:02:44  |  General  |  Info  |  * Unregister widget factory 'Widget'  |  c:\documents and settings\administrator\desktop\mygui2.2.2_source\mygui2.2.2_source\myguiengine\src\mygui_widgetmanager.cpp  |  125
17:02:44  |  General  |  Info  |  * Unregister widget factory 'Button'  |  c:\documents and settings\administrator\desktop\mygui2.2.2_source\mygui2.2.2_source\myguiengine\src\mygui_widgetmanager.cpp  |  125
17:02:44  |  General  |  Info  |  * Unregister widget factory 'Window'  |  c:\documents and settings\administrator\desktop\mygui2.2.2_source\mygui2.2.2_source\myguiengine\src\mygui_widgetmanager.cpp  |  125
17:02:44  |  General  |  Info  |  * Unregister widget factory 'List'  |  c:\documents and settings\administrator\desktop\mygui2.2.2_source\mygui2.2.2_source\myguiengine\src\mygui_widgetmanager.cpp  |  125
17:02:44  |  General  |  Info  |  * Unregister widget factory 'HScroll'  |  c:\documents and settings\administrator\desktop\mygui2.2.2_source\mygui2.2.2_source\myguiengine\src\mygui_widgetmanager.cpp  |  125
17:02:44  |  General  |  Info  |  * Unregister widget factory 'VScroll'  |  c:\documents and settings\administrator\desktop\mygui2.2.2_source\mygui2.2.2_source\myguiengine\src\mygui_widgetmanager.cpp  |  125
17:02:44  |  General  |  Info  |  * Unregister widget factory 'Edit'  |  c:\documents and settings\administrator\desktop\mygui2.2.2_source\mygui2.2.2_source\myguiengine\src\mygui_widgetmanager.cpp  |  125
17:02:44  |  General  |  Info  |  * Unregister widget factory 'Progress'  |  c:\documents and settings\administrator\desktop\mygui2.2.2_source\mygui2.2.2_source\myguiengine\src\mygui_widgetmanager.cpp  |  125
17:02:44  |  General  |  Info  |  * Unregister widget factory 'ItemBox'  |  c:\documents and settings\administrator\desktop\mygui2.2.2_source\mygui2.2.2_source\myguiengine\src\mygui_widgetmanager.cpp  |  125
17:02:44  |  General  |  Info  |  * Unregister widget factory 'MultiList'  |  c:\documents and settings\administrator\desktop\mygui2.2.2_source\mygui2.2.2_source\myguiengine\src\mygui_widgetmanager.cpp  |  125
